a sock*http://ecx.images-amazon.com/images/I/51-IfjQRw4L._SL1500_.jpg*http://amzn.com/B0082M9U4U*4
a chair*http://ecx.images-amazon.com/images/I/41%2BfHHZ6pJL._SY450_.jpg*http://amzn.com/B0052P0YLS*28
one-hundred chrome bottle caps*http://ecx.images-amazon.com/images/I/517FWIBlenL._SX425_.jpg*http://amzn.com/B006MWT4H0*5
an overpriced, "professional-grade" table tennis net*http://ecx.images-amazon.com/images/I/71SNAc6-peL._SL1500_.jpg*http://amzn.com/B000H615BA*72
a baby banana infant training toothbrush*http://ecx.images-amazon.com/images/I/31UW7md9uFL.jpg*http://amzn.com/B002QYW8LW*8
a Calvin Klein men's crew neck textured sweater (oo-la-la)*http://ecx.images-amazon.com/images/I/41dgol39muL._SY246_CR0,0,190,246_.jpg*http://amzn.com/B00H4WBUOW*80
a rotating snack carousel with ceramic bowls*http://ecx.images-amazon.com/images/I/618ml0KXtRL.jpg*http://amzn.com/B005EZZXAI*40
a cake holder*http://ecx.images-amazon.com/images/I/31ahu6pk7FL.jpg*http://amzn.com/B000IZ95XU*9
Super Smash Bros.: Melee*http://ecx.images-amazon.com/images/I/51JVNG4P1DL.jpg**150
